1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
1513;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Recurvirostridae;Stilts, Avocets;Skärfläckor
1524;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Charadriidae;Plovers;Pipare
1592;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Pluvianidae;Egyptian Plover;Krokodilväktare
1594;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Rostratulidae;Painted-snipes;Rallbeckasiner
1598;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Jacanidae;Jacanas;Jaçanor
1607;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Pedionomidae;Plains-wanderer;Stäpplöpare
1609;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Thinocoridae;Seedsnipes;Frösnäppor
1614;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Scolopacidae;Sandpipers, Snipes;Snäppor
1711;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Glareolidae;Coursers, Pratincoles;Vadarsvalor
1729;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Laridae;Gulls, Terns and Skimmers;Måsfåglar
1832;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Stercorariidae;Skuas;Labbar
1840;Charadriiformes;Gulls, Terns, Alcids, Sandpipers;Vadarfåglar;Alcidae;Auks;Alkor
1866;Pterocliformes;Sandgrouse;Flyghönsfåglar;Pteroclidae;Sandgrouse;Flyghöns
1883;Columbiformes;Pigeons, Doves, Solitaires;Duvfåglar;Columbidae;Pigeons, Doves;Duvor
2218;Opisthocomiformes;Hoatzin;Hoatzinfåglar;Opisthocomidae;Hoatzin;Hoatziner
2220;Musophagiformes;Turacos;Turakofåglar;Musophagidae;Turacos;Turakoer
2244;Cuculiformes;Cuckoos, Anis, Coucals;Gökfåglar;Cuculidae;Cuckoos;Gökar
2394;Strigiformes;Owls;Ugglefåglar;Tytonidae;Barn Owls;Tornuggglor
2414;Strigiformes;Owls;Ugglefåglar;Strigidae;Owls;Ugglor
2636;Caprimulgiformes;Nightjars, Pootoos, Frogmouths;Skärrfåglar;Podargidae;Frogmouths;Grodmunnar
2653;Caprimulgiformes;Nightjars, Pootoos, Frogmouths;Skärrfåglar;Steatornithidae;Oilbird;Oljefåglar
2655;Caprimulgiformes;Nightjars, Pootoos, Frogmouths;Skärrfåglar;Nyctibiidae;Potoos;Potoer
2663;Caprimulgiformes;Nightjars, Pootoos, Frogmouths;Skärrfåglar;Caprimulgidae;Nightjars;Nattskärror
2762;Apodiformes;Swifts and Hummingbirds;Seglar- och kolibrifåglar;Aegothelidae;Owlet-nightjars;Uggleskärror
2773;Apodiformes;Swifts and Hummingbirds;Seglar- och kolibrifåglar;Hemiprocnidae;Treeswifts;Trädseglare
2778;Apodiformes;Swifts and Hummingbirds;Seglar- och kolibrifåglar;Apodidae;Swifts;Seglare
2885;Apodiformes;Swifts and Hummingbirds;Seglar- och kolibrifåglar;Trochilidae;Hummingbirds;Kolibrier
3233;Coliiformes;Mousebirds;Musfåglar;Coliidae;Mousebirds;Musfåglar
3240;Trogoniformes;Trogons;Trogonfåglar;Trogonidae;Trogons;Trogoner
3284;Leptosomiformes;Cuckoo Roller;Kurolfåglar;Leptosomidae;Cuckoo Roller;Kuroler
3286;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Coraciidae;Rollers;Blåkråkor
3299;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Brachypteraciidae;Ground Rollers;Markblåkråkor
3305;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Alcedinidae;Kingfishers;Kungsfiskare
3399;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Todidae;Todies;Todier
